player_name,team,total_points,total_rebounds,total_assists,total_minutes,total_fga,total_fta,total_3pa,total_turnovers,games_played,points_per_game,rebounds_per_game,assists_per_game,minutes_per_game,turnovers_per_game,production_score,production_rank
Day'Ron Sharpe,Nets,387.0,323.0,87.0,882.0,309.0,74.0,43.0,62.0,50,7.74,6.46,1.74,17.64,1.24,18.102,199.0
Jared Butler,76ers,203.0,52.0,100.0,456.0,173.0,35.0,81.0,35.0,23,8.826086956521738,2.260869565217391,4.3478260869565215,19.82608695652174,1.5217391304347827,18.06086956521739,200.0
Kevin Porter Jr.,Clippers,419.0,160.0,144.0,883.0,407.0,76.0,106.0,84.0,46,9.108695652173912,3.4782608695652173,3.130434782608696,19.195652173913043,1.826086956521739,17.978260869565215,201.0
Andrew Wiggins,Heat,323.0,80.0,53.0,611.0,270.0,79.0,111.0,47.0,28,11.535714285714286,2.857142857142857,1.8928571428571428,21.821428571428573,1.6785714285714286,17.80357142857143,202.0
Buddy Hield,Warriors,999.0,285.0,148.0,2061.0,858.0,75.0,590.0,100.0,88,11.352272727272727,3.2386363636363638,1.6818181818181819,23.420454545454547,1.1363636363636365,17.761363636363637,203.0
Jimmy Butler III,Heat,426.0,131.0,120.0,765.0,263.0,161.0,36.0,30.0,43,9.906976744186046,3.046511627906977,2.7906976744186047,17.790697674418606,0.6976744186046512,17.748837209302327,204.0
Keon Johnson,Nets,754.0,274.0,151.0,1739.0,706.0,124.0,365.0,97.0,74,10.18918918918919,3.7027027027027026,2.0405405405405403,23.5,1.3108108108108107,17.693243243243245,205.0
Kyle Filipowski,Jazz,567.0,358.0,125.0,1280.0,412.0,126.0,174.0,86.0,67,8.462686567164178,5.343283582089552,1.8656716417910448,19.104477611940297,1.2835820895522387,17.67313432835821,206.0
Quentin Grimes,Mavericks,480.0,179.0,101.0,1072.0,365.0,81.0,201.0,61.0,48,10.0,3.7291666666666665,2.1041666666666665,22.333333333333332,1.2708333333333333,17.63125,207.0
Damion Baugh,Hornets,96.0,38.0,46.0,306.0,107.0,13.0,48.0,21.0,12,8.0,3.1666666666666665,3.8333333333333335,25.5,1.75,17.55,208.0
Stephen Curry,Team Shaq,20.0,10.0,2.0,24.0,17.0,0.0,16.0,3.0,2,10.0,5.0,1.0,12.0,1.5,17.5,209.0
Killian Hayes,Nets,54.0,18.0,31.0,163.0,43.0,12.0,21.0,9.0,7,7.714285714285714,2.5714285714285716,4.428571428571429,23.285714285714285,1.2857142857142858,17.442857142857143,210.0
Moses Brown,Mavericks,47.0,31.0,2.0,74.0,29.0,6.0,0.0,5.0,5,9.4,6.2,0.4,14.8,1.0,17.44,211.0
Obi Toppin,Pacers,969.0,381.0,150.0,1854.0,717.0,144.0,342.0,86.0,96,10.09375,3.96875,1.5625,19.3125,0.8958333333333334,17.2,212.0
Mike Conley,Timberwolves,613.0,208.0,337.0,1939.0,513.0,92.0,342.0,77.0,80,7.6625,2.6,4.2125,24.2375,0.9625,17.10125,213.0
Zaccharie Risacher,Hawks,808.0,246.0,85.0,1691.0,691.0,134.0,301.0,83.0,72,11.222222222222221,3.4166666666666665,1.1805555555555556,23.48611111111111,1.1527777777777777,17.093055555555555,214.0
Marcus Smart,Grizzlies,165.0,43.0,71.0,399.0,148.0,36.0,90.0,35.0,19,8.68421052631579,2.263157894736842,3.736842105263158,21.0,1.8421052631578947,17.00526315789474,215.0
Kyshawn George,Wizards,572.0,276.0,165.0,1760.0,532.0,89.0,345.0,95.0,68,8.411764705882353,4.0588235294117645,2.426470588235294,25.88235294117647,1.3970588235294117,16.92205882352941,216.0
Jaylen Wells,Grizzlies,783.0,248.0,124.0,1926.0,643.0,127.0,371.0,66.0,75,10.44,3.3066666666666666,1.6533333333333333,25.68,0.88,16.887999999999998,217.0
Corey Kispert,Wizards,705.0,181.0,103.0,1602.0,565.0,88.0,330.0,64.0,64,11.015625,2.828125,1.609375,25.03125,1.0,16.8234375,218.0
Nickeil Alexander-Walker,Timberwolves,834.0,269.0,230.0,2198.0,675.0,121.0,398.0,115.0,90,9.266666666666667,2.988888888888889,2.5555555555555554,24.42222222222222,1.2777777777777777,16.686666666666667,219.0
Cody Martin,Hornets,306.0,176.0,89.0,968.0,268.0,49.0,124.0,42.0,39,7.846153846153846,4.512820512820513,2.282051282051282,24.82051282051282,1.0769230769230769,16.684615384615384,220.0
Anthony Black,Magic,716.0,227.0,228.0,1828.0,591.0,203.0,183.0,135.0,80,8.95,2.8375,2.85,22.85,1.6875,16.63,221.0
Brandon Boston,Pelicans,448.0,134.0,92.0,994.0,381.0,85.0,140.0,52.0,45,9.955555555555556,2.977777777777778,2.0444444444444443,22.08888888888889,1.1555555555555554,16.595555555555556,222.0
Luke Kennard,Grizzlies,581.0,185.0,215.0,1484.0,432.0,56.0,261.0,77.0,68,8.544117647058824,2.7205882352941178,3.161764705882353,21.823529411764707,1.1323529411764706,16.551470588235293,223.0
Ochai Agbaji,Raptors,606.0,215.0,86.0,1577.0,473.0,46.0,225.0,48.0,60,10.1,3.5833333333333335,1.4333333333333333,26.283333333333335,0.8,16.549999999999997,224.0
Jose Alvarado,Pelicans,480.0,112.0,218.0,1164.0,420.0,57.0,266.0,59.0,57,8.421052631578947,1.9649122807017543,3.824561403508772,20.42105263157895,1.0350877192982457,16.515789473684208,225.0
Jayson Tatum,Team Shaq,21.0,5.0,4.0,21.0,11.0,0.0,5.0,1.0,2,10.5,2.5,2.0,10.5,0.5,16.5,226.0
Cole Swider,Raptors,21.0,10.0,0.0,45.0,15.0,0.0,14.0,3.0,2,10.5,5.0,0.0,22.5,1.5,16.5,226.0
Tosan Evbuomwan,Nets,230.0,99.0,41.0,572.0,190.0,67.0,65.0,37.0,25,9.2,3.96,1.64,22.88,1.48,16.412,227.0
Luguentz Dort,Thunder,855.0,368.0,129.0,2627.0,723.0,70.0,529.0,67.0,91,9.395604395604396,4.043956043956044,1.4175824175824177,28.86813186813187,0.7362637362637363,16.374725274725275,228.0
Goga Bitadze,Magic,488.0,440.0,130.0,1356.0,320.0,129.0,25.0,69.0,74,6.594594594594595,5.945945945945946,1.7567567567567568,18.324324324324323,0.9324324324324325,16.364864864864863,229.0
Aaron Wiggins,Thunder,974.0,330.0,143.0,1940.0,791.0,94.0,386.0,80.0,97,10.041237113402062,3.402061855670103,1.4742268041237114,20.0,0.8247422680412371,16.335051546391753,230.0
Patrick Williams,Bulls,523.0,222.0,115.0,1488.0,477.0,82.0,248.0,76.0,59,8.864406779661017,3.76271186440678,1.9491525423728813,25.220338983050848,1.2881355932203389,16.303389830508475,231.0
Al Horford,Celtics,563.0,408.0,138.0,1889.0,488.0,39.0,320.0,51.0,78,7.217948717948718,5.230769230769231,1.7692307692307692,24.21794871794872,0.6538461538461539,16.148717948717948,232.0
Jusuf Nurkic,Hornets,144.0,110.0,42.0,288.0,110.0,33.0,33.0,25.0,21,6.857142857142857,5.238095238095238,2.0,13.714285714285714,1.1904761904761905,16.142857142857142,233.0
Julian Champagnie,Spurs,723.0,282.0,98.0,1737.0,599.0,79.0,433.0,65.0,75,9.64,3.76,1.3066666666666666,23.16,0.8666666666666667,16.112000000000002,234.0
Gary Trent Jr.,Bucks,840.0,167.0,88.0,1888.0,656.0,86.0,433.0,43.0,73,11.506849315068493,2.287671232876712,1.2054794520547945,25.863013698630137,0.589041095890411,16.060273972602737,235.0
Tari Eason,Rockets,667.0,348.0,78.0,1402.0,538.0,103.0,185.0,66.0,75,8.893333333333333,4.64,1.04,18.69333333333333,0.88,16.02133333333333,236.0
De'Anthony Melton,Warriors,62.0,20.0,17.0,121.0,54.0,8.0,35.0,10.0,7,8.857142857142858,2.857142857142857,2.4285714285714284,17.285714285714285,1.4285714285714286,15.928571428571429,237.0
Duncan Robinson,Heat,809.0,163.0,169.0,1765.0,646.0,57.0,475.0,88.0,79,10.240506329113924,2.0632911392405062,2.1392405063291138,22.341772151898734,1.1139240506329113,15.925316455696201,238.0
Justin Champagnie,Wizards,464.0,303.0,50.0,1137.0,351.0,63.0,164.0,48.0,57,8.140350877192983,5.315789473684211,0.8771929824561403,19.94736842105263,0.8421052631578947,15.835087719298246,239.0
Jake LaRavia,Grizzlies,343.0,205.0,133.0,982.0,241.0,96.0,90.0,69.0,50,6.86,4.1,2.66,19.64,1.38,15.77,240.0
Lester Quinones,Pelicans,29.0,4.0,9.0,74.0,25.0,3.0,16.0,5.0,3,9.666666666666666,1.3333333333333333,3.0,24.666666666666668,1.6666666666666667,15.766666666666666,241.0
Lonnie Walker IV,76ers,147.0,47.0,31.0,322.0,135.0,16.0,82.0,18.0,16,9.1875,2.9375,1.9375,20.125,1.125,15.61875,242.0
David Roddy,Rockets,9.0,3.0,2.0,24.0,8.0,2.0,6.0,1.0,1,9.0,3.0,2.0,24.0,1.0,15.6,243.0
Jalen Wilson,Nets,673.0,245.0,132.0,1868.0,564.0,143.0,330.0,75.0,75,8.973333333333333,3.2666666666666666,1.76,24.906666666666666,1.0,15.533333333333333,244.0
Brandon Clarke,Grizzlies,534.0,326.0,66.0,1209.0,380.0,87.0,17.0,41.0,66,8.090909090909092,4.9393939393939394,1.0,18.318181818181817,0.6212121212121212,15.51818181818182,245.0
Kel'el Ware,Heat,536.0,435.0,59.0,1307.0,420.0,59.0,112.0,52.0,74,7.243243243243243,5.878378378378378,0.7972972972972973,17.66216216216216,0.7027027027027027,15.493243243243242,246.0
Ziaire Williams,Nets,587.0,273.0,81.0,1437.0,479.0,114.0,275.0,63.0,67,8.761194029850746,4.074626865671642,1.208955223880597,21.44776119402985,0.9402985074626866,15.464179104477612,247.0
Jabari Smith Jr.,Rockets,677.0,369.0,57.0,1694.0,539.0,127.0,270.0,66.0,78,8.679487179487179,4.730769230769231,0.7307692307692307,21.71794871794872,0.8461538461538461,15.452564102564104,248.0
Orlando Robinson,Raptors,208.0,147.0,52.0,525.0,177.0,51.0,33.0,35.0,30,6.933333333333334,4.9,1.7333333333333334,17.5,1.1666666666666667,15.413333333333332,249.0
Terance Mann,Hawks,210.0,69.0,51.0,540.0,162.0,32.0,71.0,19.0,24,8.75,2.875,2.125,22.5,0.7916666666666666,15.3875,250.0
Lonzo Ball,Bulls,267.0,118.0,115.0,775.0,243.0,27.0,195.0,41.0,38,7.026315789473684,3.1052631578947367,3.026315789473684,20.394736842105264,1.0789473684210527,15.292105263157893,251.0
Caleb Martin,76ers,281.0,136.0,69.0,943.0,232.0,74.0,87.0,43.0,36,7.805555555555555,3.7777777777777777,1.9166666666666667,26.194444444444443,1.1944444444444444,15.213888888888889,252.0
Tim Hardaway Jr.,Pistons,784.0,179.0,114.0,2107.0,663.0,131.0,453.0,55.0,77,10.181818181818182,2.324675324675325,1.4805194805194806,27.363636363636363,0.7142857142857143,15.192207792207792,253.0
Derrick Jones Jr.,Clippers,756.0,240.0,53.0,1784.0,582.0,109.0,213.0,62.0,74,10.216216216216216,3.2432432432432434,0.7162162162162162,24.10810810810811,0.8378378378378378,15.182432432432433,254.0
